
['barbour hall', 'barbour fl 1 a', 'pbarbour 140', 'barbour 140 141', 'barbour 140 141-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']
['chen family hall', 'chen fl 3', 'chen 302', 'chen 302 302c', 'chen 302 302c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 3', 'chen 302', 'chen 302 302d', 'chen 302 302d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 3', 'chen 313', 'chen 313 313a', 'chen 313 313a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 3', 'chen 313', 'chen 313 313b', 'chen 313 313b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 3', 'chen 313', 'chen 313 313c', 'chen 313 313c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 3', 'chen 313', 'chen 313 313d', 'chen 313 313d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 3', 'chen 318', 'chen 318 318a', 'chen 318 318a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 3', 'chen 318', 'chen 318 318b', 'chen 318 318b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 3', 'chen 318', 'chen 318 318c', 'chen 318 318c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 3', 'chen 318', 'chen 318 318d', 'chen 318 318d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 3', 'chen 319', 'chen 319 319a', 'chen 319 319a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 3', 'chen 319', 'chen 319 319b', 'chen 319 319b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 3', 'chen 319', 'chen 319 319c', 'chen 319 319c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 3', 'chen 319', 'chen 319 319d', 'chen 319 319d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 4', 'chen 402', 'chen 402 402a', 'chen 402 402a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 4', 'chen 402', 'chen 402 402b', 'chen 402 402b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 4', 'chen 402', 'chen 402 402c', 'chen 402 402c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 4', 'chen 402', 'chen 402 402d', 'chen 402 402d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 4', 'chen 406', 'chen 406 406a', 'chen 406 406a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 4', 'chen 406', 'chen 406 406b', 'chen 406 406b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 4', 'chen 406', 'chen 406 406c', 'chen 406 406c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 4', 'chen 406', 'chen 406 406d', 'chen 406 406d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 4', 'chen 407', 'chen 407 407a', 'chen 407 407a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 4', 'chen 407', 'chen 407 407b', 'chen 407 407b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 4', 'chen 407', 'chen 407 407c', 'chen 407 407c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 4', 'chen 407', 'chen 407 407d', 'chen 407 407d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

