
['barbour hall', 'barbour fl 1 a', 'pbarbour 140', 'barbour 140 141', 'barbour 140 141-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']
['grad center b', 'gradctr b fl 3', 'gradctr b 330', 'gradctr b 330 332', 'gradctr b 330 332-1', 'single(suite/apartment)', '4', 'dynamicgender', 'springgeneral housingselection']

['grad center b', 'gradctr b fl 3', 'gradctr b 330', 'gradctr b 330 333', 'gradctr b 330 333-1', 'single(suite/apartment)', '4', 'dynamicgender', 'springgeneral housingselection']

['grad center b', 'gradctr b fl 3', 'gradctr b 330', 'gradctr b 330 334', 'gradctr b 330 334-1', 'single(suite/apartment)', '4', 'dynamicgender', 'springgeneral housingselection']

['grad center c', 'gradctr c fl 1', 'gradctr c 110', 'gradctr c 110 113', 'gradctr c 110 113-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['grad center d', 'gradctr d fl 1', 'gradctr d 120', 'gradctr d 120 121', 'gradctr d 120 121-1', 'single(suite/apartment)', '4', 'dynamicgender', 'springgeneral housingselection']

['grad center d', 'gradctr d fl 1', 'gradctr d 120', 'gradctr d 120 123', 'gradctr d 120 123-1', 'single(suite/apartment)', '4', 'dynamicgender', 'springgeneral housingselection']

['grad center d', 'gradctr d fl 1', 'gradctr d 120', 'gradctr d 120 124', 'gradctr d 120 124-1', 'single(suite/apartment)', '4', 'dynamicgender', 'springgeneral housingselection']

['grad center d', 'gradctr d fl 1', 'gradctr d 120', 'gradctr d 120 125', 'gradctr d 120 125-1', 'single(suite/apartment)', '4', 'dynamicgender', 'springgeneral housingselection']

['grad center d', 'gradctr d fl 1', 'gradctr d 140', 'gradctr d 140 142', 'gradctr d 140 142-1', 'single(suite/apartment)', '4', 'dynamicgender', 'springgeneral housingselection']

['grad center d', 'gradctr d fl 1', 'gradctr d 140', 'gradctr d 140 143', 'gradctr d 140 143-1', 'single(suite/apartment)', '4', 'dynamicgender', 'springgeneral housingselection']

['grad center d', 'gradctr d fl 1', 'gradctr d 140', 'gradctr d 140 144', 'gradctr d 140 144-1', 'single(suite/apartment)', '4', 'dynamicgender', 'springgeneral housingselection']

['grad center d', 'gradctr d fl 1', 'gradctr d 140', 'gradctr d 140 145', 'gradctr d 140 145-1', 'single(suite/apartment)', '4', 'dynamicgender', 'springgeneral housingselection']

['grad center d', 'gradctr d fl 2', 'gradctr d 210', 'gradctr d 210 211', 'gradctr d 210 211-1', 'single(suite/apartment)', '4', 'dynamicgender', 'springgeneral housingselection']

['grad center d', 'gradctr d fl 2', 'gradctr d 210', 'gradctr d 210 212', 'gradctr d 210 212-1', 'single(suite/apartment)', '4', 'dynamicgender', 'springgeneral housingselection']

['grad center d', 'gradctr d fl 2', 'gradctr d 210', 'gradctr d 210 213', 'gradctr d 210 213-1', 'single(suite/apartment)', '4', 'dynamicgender', 'springgeneral housingselection']

['grad center d', 'gradctr d fl 2', 'gradctr d 210', 'gradctr d 210 214', 'gradctr d 210 214-1', 'single(suite/apartment)', '4', 'dynamicgender', 'springgeneral housingselection']

['gregorian quad a', 'greg a fl 2', 'greg a 201', 'greg a 201 201c', 'greg a 201 201c-1', 'single(suite/apartment)', '4', 'female', 'springgeneral housingselection']

['gregorian quad a', 'greg a fl 2', 'greg a 201', 'greg a 201 201d', 'greg a 201 201d-1', 'single(suite/apartment)', '4', 'female', 'springgeneral housingselection']

['gregorian quad a', 'greg a fl 2', 'greg a 202', 'greg a 202 202a', 'greg a 202 202a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad a', 'greg a fl 2', 'greg a 202', 'greg a 202 202b', 'greg a 202 202b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad a', 'greg a fl 2', 'greg a 202', 'greg a 202 202c', 'greg a 202 202c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad a', 'greg a fl 2', 'greg a 202', 'greg a 202 202d', 'greg a 202 202d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad a', 'greg a fl 2', 'greg a 203', 'greg a 203 203a', 'greg a 203 203a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad a', 'greg a fl 2', 'greg a 203', 'greg a 203 203b', 'greg a 203 203b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad a', 'greg a fl 2', 'greg a 203', 'greg a 203 203c', 'greg a 203 203c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad a', 'greg a fl 2', 'greg a 203', 'greg a 203 203d', 'greg a 203 203d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad a', 'greg a fl 2', 'greg a 204', 'greg a 204 204c', 'greg a 204 204c-1', 'single(suite/apartment)', '4', 'male', 'springgeneral housingselection']

['gregorian quad a', 'greg a fl 2', 'greg a 204', 'greg a 204 204d', 'greg a 204 204d-1', 'single(suite/apartment)', '4', 'male', 'springgeneral housingselection']

['gregorian quad a', 'greg a fl 2', 'greg a 206', 'greg a 206 206a', 'greg a 206 206a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad a', 'greg a fl 2', 'greg a 206', 'greg a 206 206b', 'greg a 206 206b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad a', 'greg a fl 2', 'greg a 206', 'greg a 206 206c', 'greg a 206 206c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad a', 'greg a fl 2', 'greg a 206', 'greg a 206 206d', 'greg a 206 206d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad a', 'greg a fl 2', 'greg a 212', 'greg a 212 212a', 'greg a 212 212a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad a', 'greg a fl 2', 'greg a 212', 'greg a 212 212b', 'greg a 212 212b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad a', 'greg a fl 2', 'greg a 212', 'greg a 212 212c', 'greg a 212 212c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad a', 'greg a fl 2', 'greg a 212', 'greg a 212 212d', 'greg a 212 212d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad a', 'greg a fl 2', 'greg a 213', 'greg a 213 213a', 'greg a 213 213a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad a', 'greg a fl 2', 'greg a 213', 'greg a 213 213b', 'greg a 213 213b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad a', 'greg a fl 2', 'greg a 213', 'greg a 213 213c', 'greg a 213 213c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad a', 'greg a fl 2', 'greg a 213', 'greg a 213 213d', 'greg a 213 213d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad a', 'greg a fl 2', 'greg a 214', 'greg a 214 214c', 'greg a 214 214c-1', 'single(suite/apartment)', '4', 'female', 'springgeneral housingselection']

['gregorian quad a', 'greg a fl 2', 'greg a 214', 'greg a 214 214d', 'greg a 214 214d-1', 'single(suite/apartment)', '4', 'female', 'springgeneral housingselection']

['gregorian quad a', 'greg a fl 3', 'greg a 303', 'greg a 303 303a', 'greg a 303 303a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad a', 'greg a fl 3', 'greg a 303', 'greg a 303 303b', 'greg a 303 303b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad a', 'greg a fl 3', 'greg a 303', 'greg a 303 303c', 'greg a 303 303c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad a', 'greg a fl 3', 'greg a 303', 'greg a 303 303d', 'greg a 303 303d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad a', 'greg a fl 3', 'greg a 304', 'greg a 304 304c', 'greg a 304 304c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad a', 'greg a fl 3', 'greg a 304', 'greg a 304 304d', 'greg a 304 304d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad a', 'greg a fl 3', 'greg a 309', 'greg a 309 309a', 'greg a 309 309a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad a', 'greg a fl 3', 'greg a 309', 'greg a 309 309b', 'greg a 309 309b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad a', 'greg a fl 3', 'greg a 309', 'greg a 309 309c', 'greg a 309 309c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad a', 'greg a fl 3', 'greg a 309', 'greg a 309 309d', 'greg a 309 309d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad a', 'greg a fl 3', 'greg a 312', 'greg a 312 312c', 'greg a 312 312c-1', 'single(suite/apartment)', '4', 'female', 'springgeneral housingselection']

['gregorian quad a', 'greg a fl 3', 'greg a 312', 'greg a 312 312d', 'greg a 312 312d-1', 'single(suite/apartment)', '4', 'female', 'springgeneral housingselection']

['gregorian quad a', 'greg a fl 3', 'greg a 313', 'greg a 313 313a', 'greg a 313 313a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad a', 'greg a fl 3', 'greg a 313', 'greg a 313 313b', 'greg a 313 313b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad a', 'greg a fl 3', 'greg a 313', 'greg a 313 313c', 'greg a 313 313c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad a', 'greg a fl 3', 'greg a 313', 'greg a 313 313d', 'greg a 313 313d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad a', 'greg a fl 3', 'greg a 314', 'greg a 314 314c', 'greg a 314 314c-1', 'single(suite/apartment)', '4', 'male', 'springgeneral housingselection']

['gregorian quad a', 'greg a fl 3', 'greg a 314', 'greg a 314 314d', 'greg a 314 314d-1', 'single(suite/apartment)', '4', 'male', 'springgeneral housingselection']

['gregorian quad a', 'greg a fl 4', 'greg a 401', 'greg a 401 401d', 'greg a 401 401d-1', 'single(suite/apartment)', '4', 'female', 'springgeneral housingselection']

['gregorian quad a', 'greg a fl 4', 'greg a 402', 'greg a 402 402a', 'greg a 402 402a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad a', 'greg a fl 4', 'greg a 402', 'greg a 402 402b', 'greg a 402 402b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad a', 'greg a fl 4', 'greg a 402', 'greg a 402 402c', 'greg a 402 402c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad a', 'greg a fl 4', 'greg a 402', 'greg a 402 402d', 'greg a 402 402d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 1', 'greg b 102', 'greg b 102 102a', 'greg b 102 102a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 1', 'greg b 102', 'greg b 102 102b', 'greg b 102 102b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 1', 'greg b 102', 'greg b 102 102c', 'greg b 102 102c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 1', 'greg b 102', 'greg b 102 102d', 'greg b 102 102d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 1', 'greg b 104', 'greg b 104 104a', 'greg b 104 104a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 1', 'greg b 104', 'greg b 104 104b', 'greg b 104 104b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 1', 'greg b 104', 'greg b 104 104c', 'greg b 104 104c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 1', 'greg b 104', 'greg b 104 104d', 'greg b 104 104d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 1', 'greg b 105', 'greg b 105 105c', 'greg b 105 105c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 1', 'greg b 105', 'greg b 105 105d', 'greg b 105 105d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 1', 'greg b 106', 'greg b 106 106a', 'greg b 106 106a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 1', 'greg b 106', 'greg b 106 106b', 'greg b 106 106b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 1', 'greg b 106', 'greg b 106 106c', 'greg b 106 106c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 1', 'greg b 106', 'greg b 106 106d', 'greg b 106 106d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 1', 'greg b 108', 'greg b 108 108a', 'greg b 108 108a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 1', 'greg b 108', 'greg b 108 108b', 'greg b 108 108b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 1', 'greg b 108', 'greg b 108 108c', 'greg b 108 108c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 1', 'greg b 108', 'greg b 108 108d', 'greg b 108 108d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 2', 'greg b 203', 'greg b 203 203a', 'greg b 203 203a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 2', 'greg b 203', 'greg b 203 203b', 'greg b 203 203b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 2', 'greg b 203', 'greg b 203 203c', 'greg b 203 203c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 2', 'greg b 203', 'greg b 203 203d', 'greg b 203 203d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 2', 'greg b 204', 'greg b 204 204a', 'greg b 204 204a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 2', 'greg b 204', 'greg b 204 204b', 'greg b 204 204b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 2', 'greg b 204', 'greg b 204 204c', 'greg b 204 204c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 2', 'greg b 204', 'greg b 204 204d', 'greg b 204 204d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 2', 'greg b 205', 'greg b 205 205c', 'greg b 205 205c-1', 'single(suite/apartment)', '4', 'male', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 2', 'greg b 205', 'greg b 205 205d', 'greg b 205 205d-1', 'single(suite/apartment)', '4', 'male', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 2', 'greg b 206', 'greg b 206 206a', 'greg b 206 206a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 2', 'greg b 206', 'greg b 206 206b', 'greg b 206 206b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 2', 'greg b 206', 'greg b 206 206c', 'greg b 206 206c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 2', 'greg b 206', 'greg b 206 206d', 'greg b 206 206d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 2', 'greg b 208', 'greg b 208 208a', 'greg b 208 208a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 2', 'greg b 208', 'greg b 208 208b', 'greg b 208 208b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 2', 'greg b 208', 'greg b 208 208c', 'greg b 208 208c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 2', 'greg b 208', 'greg b 208 208d', 'greg b 208 208d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 3', 'greg b 301', 'greg b 301 301a', 'greg b 301 301a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 3', 'greg b 301', 'greg b 301 301b', 'greg b 301 301b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 3', 'greg b 301', 'greg b 301 301c', 'greg b 301 301c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 3', 'greg b 301', 'greg b 301 301d', 'greg b 301 301d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 3', 'greg b 302', 'greg b 302 302a', 'greg b 302 302a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 3', 'greg b 302', 'greg b 302 302b', 'greg b 302 302b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 3', 'greg b 302', 'greg b 302 302c', 'greg b 302 302c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 3', 'greg b 302', 'greg b 302 302d', 'greg b 302 302d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 3', 'greg b 303', 'greg b 303 303a', 'greg b 303 303a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 3', 'greg b 303', 'greg b 303 303b', 'greg b 303 303b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 3', 'greg b 303', 'greg b 303 303c', 'greg b 303 303c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 3', 'greg b 303', 'greg b 303 303d', 'greg b 303 303d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 3', 'greg b 304', 'greg b 304 304a', 'greg b 304 304a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 3', 'greg b 304', 'greg b 304 304b', 'greg b 304 304b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 3', 'greg b 304', 'greg b 304 304c', 'greg b 304 304c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 3', 'greg b 304', 'greg b 304 304d', 'greg b 304 304d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 3', 'greg b 305', 'greg b 305 305c', 'greg b 305 305c-1', 'single(suite/apartment)', '4', 'male', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 3', 'greg b 305', 'greg b 305 305d', 'greg b 305 305d-1', 'single(suite/apartment)', '4', 'male', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 3', 'greg b 306', 'greg b 306 306a', 'greg b 306 306a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 3', 'greg b 306', 'greg b 306 306b', 'greg b 306 306b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 3', 'greg b 306', 'greg b 306 306c', 'greg b 306 306c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 3', 'greg b 306', 'greg b 306 306d', 'greg b 306 306d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 3', 'greg b 308', 'greg b 308 308a', 'greg b 308 308a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 3', 'greg b 308', 'greg b 308 308b', 'greg b 308 308b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 3', 'greg b 308', 'greg b 308 308c', 'greg b 308 308c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['gregorian quad b', 'greg b fl 3', 'greg b 308', 'greg b 308 308d', 'greg b 308 308d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['sternlicht commons', 'sternlicht fl 2', 'sternlicht 291', 'sternlicht 291 29', '1sternlicht 291 291b', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['sternlicht commons', 'sternlicht fl 2', 'sternlicht 293', 'sternlicht 293 29', '3sternlicht 293 293b', 'single(suite/apartment)', '4', 'female', 'springgeneral housingselection']

['sternlicht commons', 'sternlicht fl 2', 'sternlicht 293', 'sternlicht 293 29', '3sternlicht 293 293c', 'single(suite/apartment)', '4', 'female', 'springgeneral housingselection']

['sternlicht commons', 'sternlicht fl 2', 'sternlicht 293', 'sternlicht 293 29', '3sternlicht 293 293d', 'single(suite/apartment)', '4', 'female', 'springgeneral housingselection']

['sternlicht commons', 'sternlicht fl 2', 'sternlicht 294', 'sternlicht 294 29', '4sternlicht 294 294a', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['sternlicht commons', 'sternlicht fl 2', 'sternlicht 294', 'sternlicht 294 29', '4sternlicht 294 294b', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['sternlicht commons', 'sternlicht fl 2', 'sternlicht 294', 'sternlicht 294 29', '4sternlicht 294 294c', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['sternlicht commons', 'sternlicht fl 2', 'sternlicht 294', 'sternlicht 294 29', '4sternlicht 294 294d', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['sternlicht commons', 'sternlicht fl 3', 'sternlicht 393', 'sternlicht 393 39', '3sternlicht 393 393b', 'single(suite/apartment)', '4', 'male', 'springgeneral housingselection']

['sternlicht commons', 'sternlicht fl 3', 'sternlicht 393', 'sternlicht 393 39', '3sternlicht 393 393c', 'single(suite/apartment)', '4', 'male', 'springgeneral housingselection']

['sternlicht commons', 'sternlicht fl 3', 'sternlicht 393', 'sternlicht 393 39', '3sternlicht 393 393d', 'single(suite/apartment)', '4', 'male', 'springgeneral housingselection']

['sternlicht commons', 'sternlicht fl 3', 'sternlicht 394', 'sternlicht 394 39', '4sternlicht 394 394a', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['sternlicht commons', 'sternlicht fl 3', 'sternlicht 394', 'sternlicht 394 39', '4sternlicht 394 394b', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['sternlicht commons', 'sternlicht fl 3', 'sternlicht 394', 'sternlicht 394 39', '4sternlicht 394 394c', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['sternlicht commons', 'sternlicht fl 3', 'sternlicht 394', 'sternlicht 394 39', '4sternlicht 394 394d', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['sternlicht commons', 'sternlicht fl 4', 'sternlicht 491', 'sternlicht 491 49', '1sternlicht 491 491a', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['sternlicht commons', 'sternlicht fl 4', 'sternlicht 491', 'sternlicht 491 49', '1sternlicht 491 491b', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['sternlicht commons', 'sternlicht fl 4', 'sternlicht 491', 'sternlicht 491 49', '1sternlicht 491 491c', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['sternlicht commons', 'sternlicht fl 4', 'sternlicht 491', 'sternlicht 491 49', '1sternlicht 491 491d', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['sternlicht commons', 'sternlicht fl 4', 'sternlicht 492', 'sternlicht 492 49', '2sternlicht 492 492a', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['sternlicht commons', 'sternlicht fl 4', 'sternlicht 492', 'sternlicht 492 49', '2sternlicht 492 492b', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['sternlicht commons', 'sternlicht fl 4', 'sternlicht 492', 'sternlicht 492 49', '2sternlicht 492 492c', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['sternlicht commons', 'sternlicht fl 4', 'sternlicht 492', 'sternlicht 492 49', '2sternlicht 492 492d', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['sternlicht commons', 'sternlicht fl 4', 'sternlicht 493', 'sternlicht 493 49', '3sternlicht 493 493c', 'single(suite/apartment)', '4', 'female', 'springgeneral housingselection']

['sternlicht commons', 'sternlicht fl 4', 'sternlicht 493', 'sternlicht 493 49', '3sternlicht 493 493d', 'single(suite/apartment)', '4', 'female', 'springgeneral housingselection']

['sternlicht commons', 'sternlicht fl 4', 'sternlicht 494', 'sternlicht 494 49', '4sternlicht 494 494a', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['sternlicht commons', 'sternlicht fl 4', 'sternlicht 494', 'sternlicht 494 49', '4sternlicht 494 494b', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['sternlicht commons', 'sternlicht fl 4', 'sternlicht 494', 'sternlicht 494 49', '4sternlicht 494 494c', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['sternlicht commons', 'sternlicht fl 4', 'sternlicht 494', 'sternlicht 494 49', '4sternlicht 494 494d', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 10', 'yo 10 fl 1', 'yo 10 110', 'yo 10 110 111', 'yo 10 110 111-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 10', 'yo 10 fl 1', 'yo 10 110', 'yo 10 110 112', 'yo 10 110 112-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 10', 'yo 10 fl 1', 'yo 10 110', 'yo 10 110 113', 'yo 10 110 113-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 10', 'yo 10 fl 1', 'yo 10 110', 'yo 10 110 114', 'yo 10 110 114-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

